"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"44000-P091299","JM Inner City Basic Services for the Poor Project","The World Bank","29,268,130","29,268,130","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P091299",3
"44000-P095673","Jamaica Early Childhood Development Project","The World Bank","26,470,582","26,830,764","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P095673",3
"44000-P105024","Social Protection Project","The World Bank","80,000,000","80,000,000","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P105024",3
"44000-P105122","Rural Economic Development Initiative","The World Bank","14,732,355","15,208,647","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P105122",3
"44000-P106622","Jamaica Second HIV/AIDS Project","The World Bank","9,650,463","9,650,464","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P106622",3
"44000-P107407","JM Education Transformation Capacity Building","The World Bank","15,952,816","15,952,817","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P107407",3
"44000-P112780","Jamaica Energy Security and Efficiency Enhancement Project","The World Bank","14,478,575","14,478,575","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P112780",3
"44000-P145995","Jamaica DPL","The World Bank","130,000,000","130,000,000","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P145995",3
"44000-P146460","Jamaica Integrated Community Development Project","The World Bank","41,711,912","41,711,912","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P146460",3
"44000-P146688","Jamaica Strategic Public Sector Transformation","The World Bank","35,000,000","35,000,000","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P146688",3
"44000-P146965","Jamaica Disaster Vulnerability Reduction Project","The World Bank","30,000,000","28,304,036","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P146965",2
"44000-P147665","Jamaica Foundations for Competitiveness and Growth","The World Bank","57,750,000","53,661,720","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P147665",2
"44000-P148013","JM Youth Employment in Digital and Animation Industries","The World Bank","11,983,809","11,983,810","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P148013",3
"44000-P151448","First Competitiveness and Fiscal Management Programmatic DPL","The World Bank","75,000,000","75,000,000","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P151448",3
"44000-P152307","Access to Finance for MSMEs","The World Bank","15,000,000","9,859,823","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P152307",2
"44000-P166279","Second Rural Economic Development Initiative (REDI II) Project","The World Bank","40,000,000","7,251,257","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P166279",2
"44000-P170223","Jamaica First Economic Resilience DPL","The World Bank","70,000,000","70,000,000","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P170223",3
"47045-JAM-304-G01-H","Jamaica - HIV - Ministry of Health and Wellness,  Jamaica","The Global Fund to Fight AIDS, Tuberculosis and Malaria","22,855,060","22,891,436","USD","https://d-portal.org/ctrack.html#view=act&aid=47045-JAM-304-G01-H",4
"47045-JAM-708-G02-H","A Proposal to Scale Up HIV/AIDS Treatement, Prevention, and Policy Efforts in Jamaica","The Global Fund to Fight AIDS, Tuberculosis and Malaria","46,308,208","46,310,112","USD","https://d-portal.org/ctrack.html#view=act&aid=47045-JAM-708-G02-H",4
"47045-JAM-H-MOH","Support to the national HIV/AIDS response in Jamaica","The Global Fund to Fight AIDS, Tuberculosis and Malaria","38,200,604","36,808,496","USD","https://d-portal.org/ctrack.html#view=act&aid=47045-JAM-H-MOH",2
"AU-5-INI504-JM","SIDS Community-based Adaptation Program","Australia - Department of  Foreign Affairs and Trade","24,101","23,957","USD","https://d-portal.org/ctrack.html#view=act&aid=AU-5-INI504-JM",2
"AU-5-INJ082-JM","Human Rights Small Grants Scheme 2009-10","Australia - Department of  Foreign Affairs and Trade","89,291","99,295","USD","https://d-portal.org/ctrack.html#view=act&aid=AU-5-INJ082-JM",3
"AU-5-INJ115-JM","Climate Change and Disaster Risk Reduction","Australia - Department of  Foreign Affairs and Trade","670,392","712,277","USD","https://d-portal.org/ctrack.html#view=act&aid=AU-5-INJ115-JM",3
"AU-5-INJ116-JM","Economic Resilience","Australia - Department of  Foreign Affairs and Trade","954,406","1,022,138","USD","https://d-portal.org/ctrack.html#view=act&aid=AU-5-INJ116-JM",3
