"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"XI-IATI-EC_INTPA-2013-ACT-D-24834-00","Poverty Reduction Programme IV","European Commission - International Partnerships","19,632,966",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2013-ACT-D-24834-00",2
"XI-IATI-EC_INTPA-2023-PC-31885","Ex-post Evaluation of the Justice Security Accountability and Transparency Project","European Commission - International Partnerships","105,474","42,189","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2023-PC-31885",2
"XM-DAC-41301-745166","GCF Delivery Partner Fee for the project GCP /JAM/025/GCR","Food and Agriculture Organization of the United Nations (FAO)","23,502",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41301-745166",2
"XM-DAC-41301-690502","ADAPT-JAMAICA Enhancing climate change resilience of vulnerable smallholders in Central Jamaica(PPF)","Food and Agriculture Organization of the United Nations (FAO)","276,497","182,070","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41301-690502",2
"XM-DAC-45001-B407","Caribbean: Development of value added products and intra-regional trade to enhance livelihoods from coconuts II","International Trade Centre (ITC)","2,043,818","5,334,693","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-45001-B407",2
"XM-DAC-41304-549RLA4001","Creative Caribbean: An Ecosystem of 'Play' for Growth and Development","United Nations Educational, Scientific and Cultural Organization (UNESCO)","3,649,650","1,616","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41304-549RLA4001",2
"XI-IATI-EC_INTPA-2013-ACT-D-24523-00","Justice, Security, Accountability and Transparency (JSAT) Project","European Commission - International Partnerships","19,403,542",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2013-ACT-D-24523-00",2
"XI-IATI-EC_INTPA-2021-PCC-428618","Enhancing the capacity for management of dry forests in the Portland Bight Protected Area, Jamaica","European Commission - International Partnerships","338,598","268,994","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2021-PCC-428618",2
"CA-3-P011782001","UNICEF - COVID-19 Vaccination Delivery and Health System Strengthening","Canada - Global Affairs Canada | Affaires mondiales Canada","80,951,370","80,904,384","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-P011782001",2
"44000-P146965","Jamaica Disaster Vulnerability Reduction Project","The World Bank","30,000,000","28,304,036","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P146965",2
"CA-3-P011782002","COVID-19 Vaccination Delivery and Health System Strengthening","Canada - Global Affairs Canada | Affaires mondiales Canada","44,155,292","44,155,292","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-P011782002",2
"XI-IATI-EC_INTPA-2021-PCC-428606","Conserving the Forests of the Blue and John Crow Mountains","European Commission - International Partnerships","316,510","263,457","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2021-PCC-428606",2
"US-GOV-1-72053221CA00002","Strengthening Energy Sector Resilience in Jamaica","United States Agency for International Development (USAID)","4,499,999","3,433,234","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-72053221CA00002",3
"XM-DAC-41301-724562","Piloting a National Fisheries and Aquaculture Extension Strategy of Jamaica [N-FAS)","Food and Agriculture Organization of the United Nations (FAO)","50,000",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41301-724562",2
"US-GOV-1-AID-EGEE-P-17-00004","USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","United States Agency for International Development (USAID)","24,992,060","23,842,164","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-AID-EGEE-P-17-00004",3
"US-GOV-21-52864","Promoting Climate Smart Agriculture through Adaptable Technology -Jamaica","Inter-American Foundation","125,000",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-21-52864",3
"GB-GOV-1-301533-413","Enabling Fund - Trial Year - Sexual Harassment Sensitization Workshops for Students at University","UK - Foreign, Commonwealth and Development Office","18,282",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-1-301533-413",2
"XI-IATI-EC_INTPA-2023-PC-29854","Expenditure Verification for the contract 421-086  Programme Estimate H2O: 'A JAMAICAN PATH FROM HILLS TO OCEAN' - YEAR 2","European Commission - International Partnerships","15,006",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2023-PC-29854",2
"XI-BRIDGE-6385676864-10655","GEF SGP 7th Operational Phase - Strategic Implementation using STAR Resources mainly in LDCs and SIDs (Part 3)","GEF Secretariat","43,937,624",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-BRIDGE-6385676864-10655",2
"XI-IATI-EC_INTPA-2023-PC-31335","Organisation and implementation of the second edition of the EU-JA 5K and 10K run","European Commission - International Partnerships","73,799","29,519","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2023-PC-31335",2
"XI-IATI-IADB-JA-L1079","Skills Development for Global Services in Jamaica","Inter-American Development Bank","13,901,820","13,901,820","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-IADB-JA-L1079",2
"US-GOV-21-51861","Strengthening of the National Conservation Trust Fund of Jamaica to support civil society organizations andenable vulnerable communities to sustainably use and manage Jamaica`s rich biodiversity","Inter-American Foundation","340,445","51,360","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-21-51861",3
"US-GOV-21-52717","Strengthening of the National Conservation Trust Fund of Jamaica to support civil society organizations andenable vulnerable communities to sustainably use and manage Jamaica`s rich biodiversity","Inter-American Foundation","84,303","84,303","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-21-52717",3
"XI-IATI-EC_INTPA-2023-PC-30095","Expenditure Verification Works Contract CTR.397-327 Rehabilitation and Construction of Infrastructure at the National Police College of Jamaica","European Commission - International Partnerships","15,789",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2023-PC-30095",2
"US-GOV-1-AID-EGEE-T-16-00001","Forest and Natural Resource Management II PAPA with USDA/US Forest Service","United States Agency for International Development (USAID)","43,690,808","41,650,104","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-AID-EGEE-T-16-00001",2
"CA-3-D004678001","Climate Change Action for Gender-Sensitive Resilience","Canada - Global Affairs Canada | Affaires mondiales Canada","11,390,960","11,351,827","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-D004678001",2
"XM-DAC-41114-OUTPUT-00125712","Communication &amp; Behaviour Chan","United Nations Development Programme (UNDP)","41,603","19,850","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-00125712",2
"CA-3-P005001001","Skills to Access the Green Economy","Canada - Global Affairs Canada | Affaires mondiales Canada","14,428,549","10,261,401","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-P005001001",2
"XM-DAC-41114-OUTPUT-00112772","Gender Equality Mainstreaming","United Nations Development Programme (UNDP)","121,973","111,233","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-00112772",2
"XM-DAC-41114-OUTPUT-00112773","Gender Responsive NAP &amp; NAMA","United Nations Development Programme (UNDP)","275,186","289,010","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-00112773",2
"XM-DAC-41114-OUTPUT-00112774","Project Management Costs","United Nations Development Programme (UNDP)","152,707","147,140","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-00112774",2
"US-GOV-1-7200AA18N00001","USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","United States Agency for International Development (USAID)","49,693,812","44,571,728","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-7200AA18N00001",3
"US-GOV-21-52826","Training and Economic Empowerment of Marginalized Women","Inter-American Foundation","33,976","33,976","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-21-52826",3
"US-GOV-21-52828","Training and Economic Empowerment of marginalized and at risk women","Inter-American Foundation","125,000",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-21-52828",3
"US-GOV-21-52875","Enabling Vulnerable Communities in St Catherine to Adapt to Environmental Changes to Ensure Sustainability of Livelihoods and Build Greater Resilience","Inter-American Foundation","125,000",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-21-52875",3
"US-GOV-21-52877","Enabling Vulnerable Communities in St. Catherine to Adapt to Environmental Changes to Ensure Sustainability of Livelihoods and Build Greater Resilience","Inter-American Foundation","45,396","45,396","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-21-52877",3
"US-GOV-12-1131PL20GH51167-144619","JPS New Kingston Smart City, through Tuatara Group, LLC","United States Trade and Development Agency","545,428","54,543","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-12-1131PL20GH51167-144619",3
"US-GOV-12-1131PL20GH51167-145580","Technical Assistance - Jamaica Public Service New Kingston Smart City, through Tuatara Group, LLC","United States Trade and Development Agency","81,814","81,814","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-12-1131PL20GH51167-145580",3
"US-GOV-1-7200AA19CA00022","DIMS3","United States Agency for International Development (USAID)","11,092,012","8,517,839","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-7200AA19CA00022",3
"US-GOV-14-NU2GGH002211-47388","Targeted Programmatic Support Across Countries under the Global Fund to Fight HIV/AIDS, Tuberculosis and Malaria and under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2019","United States Health and Human Services","543,137","103,631","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002211-47388",3
"US-GOV-14-NU2GGH002183-47043","Strategic Information Support Across Countries under the Global Fund to Fight HIV/AIDS, Tuberculosis and Malaria and under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2019","United States Health and Human Services","4,061,633","3,125,014","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002183-47043",3
"US-GOV-14-NU2GGH002183-46005","Global AIDS: Strategic Information Support Across Countries under the Global Fund to Fight HIV/AIDS, Tuberculosis and Malaria (GFATM) and under PEPFAR","United States Health and Human Services","1,761,849","1,699,029","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002183-46005",3
"US-GOV-14-NU2GGH002183-45145","GH19-1951.NU2G Strategic Information Support Across Countries under the Global F","United States Health and Human Services","-511,525","-511,525","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002183-45145",3
"US-GOV-14-NU2GGH002183-45144","GH19-1951.NU2G Strategic Information Support Across Countries under the Global F","United States Health and Human Services","534,658","534,658","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002183-45144",3
"US-GOV-14-NU2GGH002183-45143","GH19-1951.NU2G Strategic Information Support Across Countries under the Global F","United States Health and Human Services","534,995","534,995","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002183-45143",3
"US-GOV-14-NU2GGH002183-45142","GH19-1951.NU2G Strategic Information Support Across Countries under the Global F","United States Health and Human Services","2,017,293","5,012,261","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002183-45142",3
"US-GOV-14-NU2GGH002183-45137","GH19-1951 Strategic Information Support Across Countries under the Global Fund to Fight HIV/AIDS, Tuberculosis and Malaria and under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2019","United States Health and Human Services","-298,201","-298,201","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002183-45137",3
"US-GOV-14-NU2GGH002183-45136","GH19-1951 Strategic Information Support Across Countries under the Global Fund to Fight HIV/AIDS, Tuberculosis and Malaria and under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2019","United States Health and Human Services","1,630,635","227,470","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002183-45136",3
"US-GOV-14-NU2GGH002211-45124","GH19-1950.NU2G Targeted Programmatic Support Across Countries under the Global F","United States Health and Human Services","4,297,295","1,665,755","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002211-45124",3
"US-GOV-14-NU2GGH002211-45108","GH19-1950 Targeted Programmatic Support Across Countries under the Global Fund to Fight HIV/AIDS, Tuberculosis and Malaria and under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2019","United States Health and Human Services","800,000","611,801","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002211-45108",3
"US-GOV-14-NU2GGH002211-45106","GH19-1950 Targeted Programmatic Support Across Countries under the Global Fund to Fight HIV/AIDS, Tuberculosis and Malaria and under the President's Emergency Plan for AIDS Relief (PEPFAR)","United States Health and Human Services","600,890","600,890","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002211-45106",3
"US-GOV-14-NU2GGH002183-47044","Strategic Information Support Across Countries under the Global Fund to Fight HIV/AIDS, Tuberculosis and Malaria and under the President's Emergency Plan for AIDS Relief (PEPFAR) - 2019","United States Health and Human Services","10,178","10,178","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-14-NU2GGH002183-47044",3
"US-GOV-1-720202452003","USAID Travel and Transportation","United States Agency for International Development (USAID)","1,882,427","3,036,872","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202452003",3
"US-GOV-1-720202452083","USAID Travel and Transportation","United States Agency for International Development (USAID)","2,847","15,620","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202452083",3
"US-GOV-1-720202463855","USAID Advisory and Assistance Services","United States Agency for International Development (USAID)","279,761",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202463855",3
"US-GOV-1-72MC1019M00011","USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","United States Agency for International Development (USAID)","336,862,080","298,155,200","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-72MC1019M00011",3
"US-GOV-1-72053220LA00001","Political Competition and Consensus-Building","United States Agency for International Development (USAID)","1,000,000","747,677","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-72053220LA00001",3
"US-GOV-1-72053224CA00002","Private Sector Productivity","United States Agency for International Development (USAID)","2,999,997",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-72053224CA00002",3
"US-GOV-1-72053221CA00003","HIV Prevention","United States Agency for International Development (USAID)","4,073,137","2,700,344","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-72053221CA00003",3
"US-GOV-1-72053221IO00002","HIV/AIDS","United States Agency for International Development (USAID)","807,213","565,047","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-72053221IO00002",3
