"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"GB-GOV-13-OODA-ESRC-KRYEWNA-KZZWCKS-T5XYQZ3","Sustaining Power: Women's struggles against contemporary backlash in South Asia","UK - Department for Business, Energy and Industrial Strategy (BEIS)","1,373,261","1,146,611","USD","https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-13-OODA-ESRC-KRYEWNA-KZZWCKS-T5XYQZ3",2
"XM-DAC-41114-OUTPUT-00106182","FNC &amp; Second BUR","United Nations Development Programme (UNDP)","25,448","15,490","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-00106182",2
"US-GOV-9-F22AP02860","RESTORING &amp; MANAGING HABITAT IN JAMAICA","United States Department of Interior","200,000","-46,261","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-9-F22AP02860",3
"US-GOV-1-53224A0023B","Administration and Oversight","United States Agency for International Development (USAID)","3,816",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-53224A0023B",3
"US-GOV-1-532-24-ICASS-FY2024","Administration and Oversight","United States Agency for International Development (USAID)","131,054",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-532-24-ICASS-FY2024",3
"US-GOV-1-532-IL-532-MNS-DOAG-00001-1","Ministry of National Security Implementation Letter Work Plan","United States Agency for International Development (USAID)","2,286,773","652,999","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-532-IL-532-MNS-DOAG-00001-1",3
"CA-3-P009524001","CARICOM Climate Adaptation Fund","Canada - Global Affairs Canada | Affaires mondiales Canada","15,613,277","15,613,277","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-P009524001",2
"US-GOV-1-7200AA19C00088","Development Assistance","United States Agency for International Development (USAID)","5,841,655","5,491,795","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-7200AA19C00088",3
"US-GOV-1-720202351689","USAID Pay and Benefits","United States Agency for International Development (USAID)","1,278,378,000","1,239,824,400","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202351689",2
"US-GOV-1-720202450977","USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","United States Agency for International Development (USAID)","189,967","184,217","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202450977",3
"US-GOV-1-720202451251","USAID Equipment, Lands, and Structures","United States Agency for International Development (USAID)","78,904","78,904","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202451251",3
"US-GOV-1-720202451286","USAID Equipment, Lands, and Structures","United States Agency for International Development (USAID)","9,518","78,680","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202451286",3
"US-GOV-1-720202451426","USAID Miscellaneous Goods, Services, and Operations Maintanence","United States Agency for International Development (USAID)",297,297,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202451426",3
"US-GOV-1-720202451600","USAID Miscellaneous Goods, Services, and Operations Maintanence","United States Agency for International Development (USAID)","5,924","10,458","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202451600",3
"US-GOV-1-720202451753","USAID Pay and Benefits","United States Agency for International Development (USAID)",400,400,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202451753",3
"US-GOV-1-720202451839","USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","United States Agency for International Development (USAID)","6,962,157","4,063,042","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202451839",3
"US-GOV-1-720202451843","USAID Travel and Transportation","United States Agency for International Development (USAID)","14,666,984","27,202,028","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202451843",3
"US-GOV-1-720202451884","USAID Travel and Transportation","United States Agency for International Development (USAID)","1,785,656","4,278,525","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202451884",3
"US-GOV-1-720202451889","USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","United States Agency for International Development (USAID)","478,300","1,234,296","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202451889",3
"US-GOV-1-720202452050","USAID Travel and Transportation","United States Agency for International Development (USAID)",620,494,"USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720202452050",3
"XI-BRIDGE-6385676864-10445","Learning-by-doing preparation of the Fourth National Communication and Second Biennial Update Report to the UNFCCC","GEF Secretariat","852,000","15,456","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-BRIDGE-6385676864-10445",2
"US-GOV-1-7200AA19M00019","USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","United States Agency for International Development (USAID)","112,197,256","76,011,920","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-7200AA19M00019",3
"XM-DAC-41114-PROJECT-00124680","Supporting Sustainable Transportation through E-Mobility","United Nations Development Programme (UNDP)",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-PROJECT-00124680",2
"XM-DAC-41114-OUTPUT-00119439","Low Carbon Electric Mobility","United Nations Development Programme (UNDP)","10,000",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-00119439",2
"XI-IATI-EC_INTPA-2022-PCC-436425","Citizen Security Through A Multi-Stakeholder Partnership (CSTAMP)","European Commission - International Partnerships","423,794","210,810","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2022-PCC-436425",2
"XI-IATI-EC_INTPA-2022-PC-21464","Link UP 2: Strengthening CSOs to deliver violence prevention interventions to build youth resilience","European Commission - International Partnerships","370,819","304,608","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2022-PC-21464",2
"XI-IATI-EC_INTPA-2022-PCC-431506","Institutionalizing the Consensus 2020 Monitoring &amp; Oversight Committee: A mechanism for a sustainable reduction in crime, violence and corruption","European Commission - International Partnerships","317,845","145,765","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2022-PCC-431506",2
"XI-IATI-EC_INTPA-2020-PCC-421423","SRPC - Support to Citizen Security in Jamaica","European Commission - International Partnerships","19,099,940","7,506,197","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2020-PCC-421423",2
"US-GOV-1-AID-OAA-TO-15-00007","USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","United States Agency for International Development (USAID)","5,719,696,400","4,997,471,000","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-AID-OAA-TO-15-00007",3
"XM-DAC-41301-723562","Towards a Modern and Digitized Agri-food System [TAMADAS] Project","Food and Agriculture Organization of the United Nations (FAO)","200,000","2,828","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41301-723562",2
"XI-IATI-EC_INTPA-2021-PCC-429613","Scale up of Rehabilitation of Inmates: A Professional and Artistic Way to come back into Society Part 4","European Commission - International Partnerships","349,009","285,059","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2021-PCC-429613",2
"XM-DAC-45001-B807","ACP Business-friendly: Supporting value chains through inclusive policies, investment promotion and alliances","International Trade Centre (ITC)","667,863","9,631,612","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-45001-B807",2
"47045-JAM-H-MOH","Support to the national HIV/AIDS response in Jamaica","The Global Fund to Fight AIDS, Tuberculosis and Malaria","38,200,604","36,808,496","USD","https://d-portal.org/ctrack.html#view=act&aid=47045-JAM-H-MOH",2
"XM-DAC-41114-PROJECT-00137180","Building Back Equal Joint Programme","United Nations Development Programme (UNDP)",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-PROJECT-00137180",2
"CA-3-D002427001","Supporting Renewable Energy and Energy Efficiency in the Caribbean (EcoMicro)","Canada - Global Affairs Canada | Affaires mondiales Canada","5,395,707","5,448,852","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-D002427001",2
"US-GOV-1-AID-OAA-TO-15-00004","Global Health Supply Chain - Rapid Test Kits (GHSC-RTK)","United States Agency for International Development (USAID)","403,265,000","360,180,640","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-AID-OAA-TO-15-00004",3
"SE-0-SE-6-14221-14221A0101","Toronto Centre 2020-2023","Sweden, through Swedish International Development Cooperation Agency (Sida)","3,583,569","3,332,463","USD","https://d-portal.org/ctrack.html#view=act&aid=SE-0-SE-6-14221-14221A0101",2
"XI-BRIDGE-6385676864-10960","Strengthening national-level institutional and professional capacities of country Parties towards enhanced UNCCD monitoring and reporting â€“ GEF 7 EA Umbrella II","GEF Secretariat","1,954,338","1,260,000","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-BRIDGE-6385676864-10960",2
"XM-DAC-41301-728062","Assessment of locally produced livestock feed ingredients to strengthen the sector?s sustainability","Food and Agriculture Organization of the United Nations (FAO)","90,000","1,000","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41301-728062",2
"SE-0-SE-6-14221-14221A0102","Toronto Centre 2020-2023 - Toronto Centre 2020-2023 New Strat 2022-2026","Sweden, through Swedish International Development Cooperation Agency (Sida)","2,150,141","1,670,944","USD","https://d-portal.org/ctrack.html#view=act&aid=SE-0-SE-6-14221-14221A0102",2
"KR-GOV-010-KR-GOV-051-2023050102019","Project of Automatic Identification System for Security Improvement in Jamaica","Republic of Korea","368,853","179,425","USD","https://d-portal.org/ctrack.html#view=act&aid=KR-GOV-010-KR-GOV-051-2023050102019",2
"XM-DAC-41114-OUTPUT-00127771","Innovative Financing for GE","United Nations Development Programme (UNDP)","138,444","73,136","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-00127771",2
"XM-DAC-41114-OUTPUT-00122017","Legal &amp; Regulatory Framework","United Nations Development Programme (UNDP)","701,553","235,631","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-00122017",2
"XM-DAC-41114-OUTPUT-00127257","Development of Shelter","United Nations Development Programme (UNDP)","1,020,770","500,772","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-00127257",2
"SE-0-SE-6-14221","Toronto Centre 2020-2023","Sweden, through Swedish International Development Cooperation Agency (Sida)",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=SE-0-SE-6-14221",2
"XI-IATI-EC_INTPA-2022-PC-21459","Strengthening Schools and Communities for Greater Security - The Greenleaf Project SSCGS","European Commission - International Partnerships","314,401","157,200","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2022-PC-21459",2
"44000-P152307","Access to Finance for MSMEs","The World Bank","15,000,000","9,859,823","USD","https://d-portal.org/ctrack.html#view=act&aid=44000-P152307",2
"XM-DAC-41114-OUTPUT-00105162","Jamaica ABS-UNDP-JAM-00105162","United Nations Development Programme (UNDP)","206,259",0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-OUTPUT-00105162",2
"XM-DAC-41114-PROJECT-00103166","Support to the implementation of Nagoya Protocol","United Nations Development Programme (UNDP)",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-41114-PROJECT-00103166",2
"XI-IATI-IADB-JA-L1074","Security Strengthening Project","Inter-American Development Bank","13,743,056","13,743,056","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-IADB-JA-L1074",2
"CA-3-P006224001","Canada-Caribbean Resilience Facility","Canada - Global Affairs Canada | Affaires mondiales Canada","14,886,355","15,446,783","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-P006224001",2
"XM-DAC-301-2-110148-001","Women Feeding Cities: gender-transformative, resilient and sustainable COVID-19 recovery of the informal food sector in secondary cities","Canada - International Development Research Centre/Centre de recherches pour le développement international","75,732","75,732","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-301-2-110148-001",2
"XI-IATI-IADB-JA-L1085","Boosting Innovation, Growth and Entrepreneurship Ecosystems Programme","Inter-American Development Bank","11,035,855","11,035,855","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-IADB-JA-L1085",2
"XI-IATI-EC_INTPA-2017-PCC-390892","Delegation Agreement with Inter-American Development Bank (IDB) to implement project Energy Management and Efficiency Programme","European Commission - International Partnerships","10,861,639","4,145,402","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2017-PCC-390892",2
"GB-GOV-3-BC","British Council: Official Development Assistance (ODA) support","UK - Foreign, Commonwealth and Development Office",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-BC",2
