"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"GB-CHC-1038860-28437-02","Core funding to support the Frontline AIDS strategy: PR02 Health and Community Systems Strengthening","Frontline AIDS","2,224,330","2,224,330","USD","https://d-portal.org/ctrack.html#view=act&aid=GB-CHC-1038860-28437-02",4
"XM-OCHA-CERF-20-UF-FAO-011","Assistance agricole d’urgence aux ménages vulnérables affectés par la sécheresse et la crise socio-économique dans les départements du Nord-ouest et de Grande Anse","United Nations Central Emergency Response Fund (CERF)","1,250,000","1,250,000","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-OCHA-CERF-20-UF-FAO-011",4
"GB-CHC-1038860-28437","Core funding to support Frontline AIDS' strategy","Frontline AIDS","2,376,053","10,408,342","USD","https://d-portal.org/ctrack.html#view=act&aid=GB-CHC-1038860-28437",4
"XI-IATI-UNPF-00106221","UNDG/HRF-14 Health","UN Pooled Funds","19,800,000","19,800,000","USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00106221",3
"XI-IATI-UNPF-00076883","UNDG/HRF-1 Gestion des Débris","UN Pooled Funds",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00076883",3
"XI-IATI-UNPF-00077387","UNDG/HRF-2 Disaster Risk Reduc","UN Pooled Funds",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00077387",3
"NL-KVK-41160229-NL-KVK-41160229-Haiti","PUM programme Haiti","PUM Netherlands","28,085","28,085","USD","https://d-portal.org/ctrack.html#view=act&aid=NL-KVK-41160229-NL-KVK-41160229-Haiti",4
"XM-OCHA-CERF-20-RR-CEF-030","Preventing and Responding to the COVID-2019 Pandemic","United Nations Central Emergency Response Fund (CERF)","10,950,000","10,950,000","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-OCHA-CERF-20-RR-CEF-030",4
"XI-IATI-UNPF-00077735","UNDG/HRF-3 Southwest Sustainab","UN Pooled Funds",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00077735",3
"XI-IATI-UNPF-00079112","UNDG/HRF-6 Plan de Prevention","UN Pooled Funds",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00079112",3
"XI-IATI-UNPF-00079654","UNDG/HRF-7 Appui à la reconstr","UN Pooled Funds",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00079654",3
"XI-IATI-UNPF-00079920","UNDG/HRF-8 16 quartiers 6 camp","UN Pooled Funds",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00079920",3
"XI-IATI-UNPF-00080016","UNDG/HRF-5 Capacités CIRH","UN Pooled Funds",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-UNPF-00080016",3
"XM-DAC-21-1-2020991593B2PROGRAM-CSFPRGFND","People survive crisis","Ireland - Department of Foreign Affairs","81,373","81,373","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-21-1-2020991593B2PROGRAM-CSFPRGFND",4
